Source,Description,ID,Units,Analyzed timeframe ,Link,Data access
FAO World maps of climatological net primary production of biomass,FAO Sensitivity of NPP with respect to changes in annual mean temperature dNPP/dT,FAOdNPPdT,g/m2/_C,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,11-Apr-17
FAO World maps of climatological net primary production of biomass,FAO NPP based on CRU,FAO CRU NPP,g/m2,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,11-Apr-17
FAO World maps of climatological net primary production of biomass,FAO NPP based on GPCP,FAO GPCC NPP,g/m2,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,11-Apr-17
FAO World maps of climatological net primary production of biomass,FAO NPP based on GPCP VASClimO,FAO GPCC VASClimO NPP,g/m2,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,11-Apr-17
FAO Koeppen Climatology,FAO GPCC VASClimO Precipitation,FAO GPCC VASClimO Precipitation,mm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,11-Apr-17
FAO Koeppen Climatology,FAO CRU Precipitation,FAO CRU Precipitation,mm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,11-Apr-17
FAO Koeppen Climatology,FAO CRU Temperature,FAO CRU Temperature,Celsius,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,11-Apr-17
FAO Koeppen Climatology,FAO GPCC Fulldata Precipitation,FAO GPCC Fulldata Precipitation,mm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,11-Apr-17
FAO Koeppen Climatology,FAO Aridity index of De Martonne CRU,FAO Aridity index De Martonne CRU,Index,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,11-Apr-17
FAO Koeppen Climatology,FAO Aridity index of De Martonne GPCC Fulldata,FAO Aridity index De Martonne GPCC Fulldata,Index,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,11-Apr-17
FAO Koeppen Climatology,FAO Aridity index of De Martonne GPCC VASClimO,FAO Aridity index of De Martonne GPCC VASClimO,Index,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,11-Apr-17
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil reference bulk density,HWSD Topsoil ref. bulk dens.,kg/dm3,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil clay fraction,HWSD Topsoil clay fraction,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil gravel content,HWSD Topsoil gravel content,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil silt fraction,HWSD Topsoil silt fraction ,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil_sand_fraction,HWSD Topsoil sand fraction,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil organic carbon,HWSD Topsoil organic carbon,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil pH,HWSD Topsoil pH,#-log(H+),2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil reference bulk density,HWSD Subsoil ref bulk dens.,kg/dm3,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil clay fraction,HWSD Subsoil clay fraction,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil gravel content,HWSD Subsoil gravel content,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil silt fraction,HWSD Subsoil silt fraction,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil sand fraction,HWSD Subsoil sand fraction,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil organic carbon,HWSD Subsoil organic carbon,%,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil pH,HWSD Subsoil pH,#-log(H+),2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,4-Feb-16
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE Soil carbonate carbon density ,ISRIC-WISE Soil carbonate carbon dens.,kg C/m**2 for 0-100cm depth range,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_2,21-Nov-16
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Soil organic carbon density  (0-30 cm depth range),ISRIC-WISE Soil org. carbon dens., kg C/m**2 for 0-100cm depth range,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_6,21-Nov-16
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Soil pH (0-30 cm depth range),ISRIC-WISE Soil pH, 0-30 cm depth range,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_3,21-Nov-16
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Total available water capacity ,ISRIC-WISE Total avail.water cap.,mm water per 1 m soil depth,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_1,21-Nov-16
ISRIC Soilgrids,SoilGrids absolute depth to bedrock,SoilGrids BDRICM,cm,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids bulk density,SoilGrids BLDFIE,kg/m3,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids cation exchange capacity of soil,SoilGrids CECSOL ,meq/100 g,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids clay content,SoilGrids CLYPPT,%,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids course fragments volumetric,SoilGrids CRFVOL,%,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids soil organic carbon stock per ha,SoilGrids OCSTHA,kg/m3,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids soil organic carbon content,SoilGrids ORCDRC ,ä,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids soil pH H2O,SoilGrids PHIHOX,#-log(H+),2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids soil pH KCL,SoilGrids PHIKCL,#-log(H+),2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids silt content,SoilGrids SLTPPT,%,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
ISRIC Soilgrids,SoilGrids sand content,SoilGrids SNDPPT,%,2012_2016,ftp://ftp.soilgrids.org/data/recent/,14-Jul-17
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Nutrient availability,GAEZ Nutrient availability,Limitation scale,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,25-Jul-17
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Nutrient retention capacity,GAEZ Nutrient retention capacity,Limitation scale,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,25-Jul-17
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ  Rooting conditions,GAEZ Rooting conditions,Limitation scale,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,25-Jul-17
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Oxygen availability to roots,GAEZ Oxygen availability to roots,Limitation scale,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,25-Jul-17
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Excess salts,GAEZ Excess salts,Limitation scale,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,25-Jul-17
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Toxicity,GAEZ Toxicity,Limitation scale,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,25-Jul-17
Global Distribution of Plant-Extractable Water Capacity of Soil,Global Distribution of Plant-Extractable Water Capacity of Soil,Plant-Extractable Water Capacity of Soil,cm water per cm soil,1996,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=545_1,21-Nov-16
IGBP-DIS,IGBP-DIS Soil pH,IGBP-DIS Soil pH,#-log(H+),1998,https://nelson.wisc.edu/sage/data-and-models/atlas/maps.php?datasetid=20&includerelatedlinks=1&dataset=20,21-Nov-16
Suitability for Agriculture,Suitability for Agriculture,Suitability for Agriculture,Index,2001,https://nelson.wisc.edu/sage/data-and-models/atlas/data.php?incdataset=Suitability%20for%20Agriculture,25-Jul-17
CRU growing degree days,CRU Growing degree-days above 5Ê¡C,Growing degree-days,days,1961-1990 ,https://nelson.wisc.edu/sage/data-and-models/atlas/data.php?incdataset=Growing%20Degree%20Days,25-Jul-17
"A Global Self-consistent, Hierarchical, High-resolution Geography Database (GSHHG) Version 2.3.7 ",GSHHG distance to the coast,Distance to the coast,Km,1996,http://www.soest.hawaii.edu/wessel/gshhg/,25-Jul-17
